"Month","Year","MonYr","T_mean","T_min","T_max","S_mean","S_min","S_max"
7,2015,"7/2015",29.9372834428947,29.7,30.2491337715789,33.5543530701645,24.5174122806579,37.3
7,2016,"7/2016",31.9196330705743,31.5785322822973,32.5,31.2187435185667,25.1749740742667,34.4
7,2017,"7/2017",31.1482935778158,31,31.2,31.6799862782105,28.1199451128421,33.4
8,2002,"8/2002",30.0849845226897,28.7,31.6,32.5791316537568,27.3956582687841,35.5
8,2003,"8/2003",27.9959925866398,27.8,28.1,23.8442201531985,20.5326604595954,26
8,2004,"8/2004",29.342955309736,28.9,29.7288659292079,26.6853567734354,20.6560703203063,31
8,2005,"8/2005",30.5510509043953,28.5,31.7,28.7512342483294,22.9561712416471,30.7
8,2006,"8/2006",30.6547674898519,30.3,31.0643024695556,31.1726872427407,28.0180617282222,32.9
8,2007,"8/2007",30.9447347669892,30.638939067957,31.22,32.1562273549457,29.7949094197826,33.7
8,2008,"8/2008",30.2981575176587,29.6226300706349,32.11,32.680561067004,28.7322442680159,34.53
8,2009,"8/2009",29.3285347010993,28.86,30.5841388043972,31.6444743330674,28.2378973322695,34.29
8,2010,"8/2010",29.6380555556081,29.1,31.0522222224324,29.6283444940848,26.8133779763393,31.7
8,2011,"8/2011",31.4477211849702,30.990884739881,31.8,32.1999035205882,25.6996140823529,35.1
8,2012,"8/2012",31.6100264760825,30.3401059043299,32.5,29.5848846275781,23.9395385103125,33.3
8,2013,"8/2013",30.5179499999286,30.1,31,30.6578799019228,23.1315196076912,34.1
8,2014,"8/2014",31.1996388889,30.8,31.5,31.51021114875,25.740844595,34.9
8,2015,"8/2015",30.6430148808929,29.4720595235714,31.6,25.1972183099401,18.1888732397606,28.7
8,2016,"8/2016",31.8104157407667,30.0416629630667,33,29.7886925925667,24.8547703702667,32.4
8,2017,"8/2017",31.391000724587,30.7640028983478,31.8,31.0653963768848,27.0615855075391,32.8
9,2002,"9/2002",29.5266602290214,29.4,29.6,28.2363087128043,26.0089261384128,30.2
9,2003,"9/2003",29.6847045903011,28.5541137709032,31,24.6477595219967,20.9432785659901,27
9,2004,"9/2004",27.8803518384348,27.5,28.3,25.0095438760855,18.7477193804275,29.2
9,2005,"9/2005",28.9904340277083,28.9904340277083,28.9904340277083,24.6875477430208,24.6875477430208,24.6875477430208
9,2006,"9/2006",28.8165289854348,28.2,29.7,29.2306642335766,25.8919927007299,31.1
9,2007,"9/2007",28.99358472215,28.43,29.5843388886,33.01646250005,29.3958500002,34.78
9,2008,"9/2008",28.5330519689423,28.31,28.7,32.3433793342476,28.3135173369903,35.04
9,2009,"9/2009",29.4836753202846,29.2,29.9347012811382,30.9928221236118,25.6712884944472,34.2
9,2010,"9/2010",28.8018261717773,28.4,29.4073046871094,28.8811975065748,25.2247900262992,31.5
9,2011,"9/2011",29.4536980027066,29.2147920108264,29.9,30.6084390496074,24.4337561984298,33.8
9,2012,"9/2012",28.765254924175,28.2,29.6,27.0971075757075,21.38843030283,31.2
9,2013,"9/2013",28.9796864036842,28.5,29.6187456147368,28.5220584415032,20.388233766013,32.9
9,2014,"9/2014",29.8056976299541,29.3,30.3,31.1197897553739,26.1791590214954,34.8
9,2015,"9/2015",28.6635345319863,28,29.2541381279452,25.4746509008446,16.6986036033784,30
9,2016,"9/2016",30.0705059523884,29.8820238095536,30.3,27.9664988937611,22.0659955750442,31.4
9,2017,"9/2017",28.7158954036856,28.5,29.1,25.8812091924639,20.1248367698557,29.8
10,2002,"10/2002",28.4613555568817,28.4,28.5840666706452,28.7741514637867,26.82245439136,31.1
10,2003,"10/2003",25.8476413772899,25,26.4382068864493,27.0723034671444,22.6615173357219,29.8
10,2004,"10/2004",26.8857301314461,26.3,27.5571903943382,26.8196402583162,22.3589207749485,29.8
10,2005,"10/2005",23.9059215686824,19.3,28.1,30.160638242907,24.6031912145349,32.9
10,2006,"10/2006",26.59335257329,24.8900577198701,27.49,28.2023717948718,24.1071153846154,30.5
10,2007,"10/2007",25.1122447916406,24.33,27.2589791665625,31.1552480160714,29.2209920642857,33.17
10,2008,"10/2008",23.6175600137654,23.43,23.74,32.3612951388438,29.055180555375,33.81
10,2009,"10/2009",22.1304918032992,19.4,27.5219672131967,33.0742665289463,27.4970661157851,35.9
10,2010,"10/2010",25.69419333336,25.4,25.9,30.1346512096573,26.938604838629,32.3
10,2011,"10/2011",22.0954090908239,21,24.7816363632955,30.3262481060511,24.4049924242045,33.3
10,2012,"10/2012",26.9884689922384,26.5,27.9,27.5638565891948,21.9554263567791,30
10,2013,"10/2013",27.021192234858,26.3,27.6,30.2294032567241,21.5176130268966,33.8
10,2014,"10/2014",26.6326601850556,26.2306407402222,26.9,27.2773882783324,23.5095531133297,28.9
10,2015,"10/2015",25.021220991519,24.3,26.884883966076,28.3797151899367,21.2188607597468,31.7
10,2016,"10/2016",25.9085966434375,25.6,26.33438657375,28.1341784038134,21.1367136152535,32.1
10,2017,"10/2017",21.2325320513782,18.5,27.3301282055128,28.5359935896154,22.5439743584615,31.3
11,2002,"11/2002",21.6995914394568,17.2,25.4,25.2206461414506,21.7,28.4
