Site,Date,Month,Year,MonYr,Station,Location,Latitude,Longitude,Time,Depth,Temp,Sal,DO_mg/l,DO,Sampling_Depth,Secchi,Per_Secchi
TB,2/18/2005,2,2005,2/2005,5,Tarpon Key,27.66063333,-82.691,8:16,Z,18.5,31.7,Z,Z,Surface,2.25,#VALUE!
TB,3/9/2005,3,2005,3/2005,2,Indian Key,27.69903333,-82.69238333,8:26,1,17.4,32.1,Z,Z,Surface,1,100
TB,3/9/2005,3,2005,3/2005,5,Tarpon Key,27.66063333,-82.691,8:50,1.75,17.8,32.1,Z,Z,Surface,1,57.1
TB,3/30/2005,3,2005,3/2005,2,Indian Key,27.69903333,-82.69238333,8:42,2,21.7,31.8,Z,Z,Surface,2,100
TB,3/30/2005,3,2005,3/2005,5,Tarpon Key,27.66063333,-82.691,9:03,2.5,21.4,32.2,Z,Z,Surface,1,40
TB,4/21/2005,4,2005,4/2005,2,Indian Key,27.69903333,-82.69238333,7:58,1,21.6,31.9,Z,Z,Surface,1,100
TB,4/21/2005,4,2005,4/2005,5,Tarpon Key,27.66063333,-82.691,8:28,2,21.7,31.2,Z,Z,Surface,1.25,62.5
TB,5/13/2005,5,2005,5/2005,2,Indian Key,27.69903333,-82.69238333,7:53,1.25,25,30.8,Z,Z,Surface,1.25,100
TB,5/13/2005,5,2005,5/2005,5,Tarpon Key,27.66063333,-82.691,8:15,2,25.3,31.4,Z,Z,Surface,0.75,37.5
TB,6/3/2005,6,2005,6/2005,2,Indian Key,27.69903333,-82.69238333,8:04,1.5,26.8,31.2,Z,Z,Surface,1.5,100
TB,6/3/2005,6,2005,6/2005,5,Tarpon Key,27.66063333,-82.691,8:34,2.5,26.7,31.4,Z,Z,Surface,1.5,60
TB,7/1/2005,7,2005,7/2005,2,Indian Key,27.69903333,-82.69238333,8:53,1.25,29.6,29.4,Z,Z,Surface,1.25,100
TB,7/1/2005,7,2005,7/2005,5,Tarpon Key,27.66063333,-82.691,8:30,2.75,29.5,29.6,Z,Z,Surface,1,36.4
TB,7/22/2005,7,2005,7/2005,2,Indian Key,27.69903333,-82.69238333,7:53,1.25,30.8,28.2,Z,Z,Surface,1.25,100
TB,7/22/2005,7,2005,7/2005,5,Tarpon Key,27.66063333,-82.691,8:16,2,30.7,27.8,Z,Z,Surface,1.5,75
TB,8/12/2005,8,2005,8/2005,2,Indian Key,27.69903333,-82.69238333,8:13,1.5,31.7,30.5,Z,Z,Surface,1.5,100
TB,8/12/2005,8,2005,8/2005,5,Tarpon Key,27.66063333,-82.691,8:40,2.5,31.6,30,Z,Z,Surface,1.75,70
TB,8/31/2005,8,2005,8/2005,2,Indian Key,27.69903333,-82.69238333,8:52,1.2,28.5,29.6,Z,Z,Surface,1.2,100
TB,8/31/2005,8,2005,8/2005,5,Tarpon Key,27.66063333,-82.691,8:24,1.8,29.7,30.7,Z,Z,Surface,1.5,83.3
TB,9/23/2005,9,2005,9/2005,2,Indian Key,27.69903333,-82.69238333,8:58,1.2,Z,Z,Z,Z,Surface,1.2,100
TB,9/23/2005,9,2005,9/2005,5,Tarpon Key,27.66063333,-82.691,8:28,1.8,Z,Z,Z,Z,Surface,1.8,100
TB,10/13/2005,10,2005,10/2005,2,Indian Key,27.69903333,-82.69238333,9:16,1.5,28.1,32.9,Z,Z,Surface,1.5,100
TB,10/13/2005,10,2005,10/2005,5,Tarpon Key,27.66063333,-82.691,8:36,2.1,28.1,32.2,Z,Z,Surface,2.1,100
TB,10/31/2005,10,2005,10/2005,2,Indian Key,27.69903333,-82.69238333,8:50,1.5,19.3,31.8,Z,Z,Surface,1.5,100
TB,10/31/2005,10,2005,10/2005,5,Tarpon Key,27.66063333,-82.691,8:20,1.5,19.4,29.3,Z,Z,Surface,1.5,100
TB,11/21/2005,11,2005,11/2005,2,Indian Key,27.69903333,-82.69238333,9:20,0.6,22.4,32.2,Z,Z,Surface,0.6,100
TB,11/21/2005,11,2005,11/2005,5,Tarpon Key,27.66063333,-82.691,9:42,1.8,22.4,32.6,Z,Z,Surface,1.8,100
TB,12/15/2005,12,2005,12/2005,2,Indian Key,27.69903333,-82.69238333,8:27,1.5,17.1,31.9,Z,Z,Surface,1.5,100
TB,12/15/2005,12,2005,12/2005,5,Tarpon Key,27.66063333,-82.691,8:00,1.5,16.7,31.3,Z,Z,Surface,1.5,100
TB,1/3/2006,1,2006,1/2006,2,Indian Key,27.69903333,-82.69238333,8:40,0.75,19,31.7,Z,Z,Surface,0.75,100
TB,1/3/2006,1,2006,1/2006,5,Tarpon Key,27.66063333,-82.691,8:18,1.65,19.3,32.1,Z,Z,Surface,1.65,100
TB,1/26/2006,1,2006,1/2006,2,Indian Key,27.69903333,-82.69238333,8:54,0.75,15.5,33.1,Z,Z,Surface,0.75,100
TB,1/26/2006,1,2006,1/2006,5,Tarpon Key,27.66063333,-82.691,8:31,1.35,15.9,32.7,Z,Z,Surface,1.35,100
TB,2/15/2006,2,2006,2/2006,2,Indian Key,27.69903333,-82.69238333,8:38,0.9,12.8,32.5,Z,Z,Surface,0.9,100
TB,2/15/2006,2,2006,2/2006,5,Tarpon Key,27.66063333,-82.691,8:10,1.5,12.9,32.3,Z,Z,Surface,1.5,100
TB,3/10/2006,3,2006,3/2006,2,Indian Key,27.69903333,-82.69238333,8:20,1.2,19.1,33.5,Z,Z,Surface,1.2,100
TB,3/10/2006,3,2006,3/2006,5,Tarpon Key,27.66063333,-82.691,8:40,2.1,19.1,33.2,Z,Z,Surface,2.1,100
