"Month","Year","DlogLTB","DlogMTB","DlogOTB","DlogBoth"
7,2005,0,0,0,0
8,2005,0,0,0,0
9,2005,0,0,0,0
10,2005,0,0,0,0
11,2005,0,0,0,0
12,2005,0,0.0989173964838313,0,0
1,2006,0,0.422923019139364,NA,0
2,2006,0,0.411082055144796,NA,0
3,2006,0.150435563670252,3.02881721909782,NA,0.0766788555070001
4,2006,0,0.160783911512681,NA,0
5,2006,0.131147969037107,0.137202556189214,NA,0.0891810949380376
6,2006,0,0.0217627754376143,NA,0
7,2006,0,-0.0802304062567155,NA,0
8,2006,0.236806941659926,-0.0641918504272087,NA,0.227437990296177
9,2006,0,-0.0134199378467082,NA,0
10,2006,0,0.00654664647371873,NA,0
11,2006,0,0.0115755007792397,NA,0
12,2006,0,0.0762992552279913,NA,0
1,2007,0,0.358267943967853,NA,0
2,2007,0,0.365196124960263,NA,0
3,2007,0.224980323657044,2.61241137315492,NA,0.157031946001678
4,2007,0.160779787979396,0.18150915504313,NA,0.165962428770014
5,2007,0.165643235331072,0.153097020364882,NA,0.129188139127679
6,2007,0,0.0439637439941267,NA,0
7,2007,0.273445942847981,-0.0604398236004181,NA,0.254421991382884
8,2007,0.142084164995955,-0.052632979425187,NA,0.136462794177706
9,2007,0.233902493977897,-0.0440411578354244,NA,0.177559174546
10,2007,0,0.0101465834496747,NA,0
11,2007,0,0.0230984595896959,NA,0
12,2007,0.211998289457099,0.0535864533629669,NA,0.240545985820179
1,2008,0,0.293487973979836,NA,0
2,2008,0,0.319012416010141,NA,0
3,2008,0.406504972212223,2.19089051479516,NA,0.357240371815023
4,2008,0.559302993977376,0.202301298511409,NA,0.577331793164952
5,2008,0.180989987149584,0.168912363085613,NA,0.186775957965142
6,2008,0.26565377132291,0.0662332853663088,NA,0.295757371741313
7,2008,0.311443621909048,-0.0405792986275578,NA,0.289776127831048
8,2008,0.654239855330302,-0.0410352648391256,NA,0.628355726504306
9,2008,0.765155965326348,-0.0747302807631638,NA,0.580842295829185
10,2008,0.380612007821541,0.0137570029352697,NA,0.257438675498483
11,2008,0.151039268951859,0.0346526254105648,NA,0.174835145851343
12,2008,0.0542626634324986,0.0309630270170464,NA,0.0615696754064629
1,2009,0,0.228925460466313,NA,0
2,2009,0,0.272958122590073,NA,0
3,2009,0.109116520779724,1.77039545719634,NA,0.0630982188484235
4,2009,0,0.223051636226668,NA,0
5,2009,0.148955047475892,0.184698394537058,NA,0.153716910665668
6,2009,0.339376933359106,0.0884660862707265,NA,0.377834763421857
7,2009,0.499833617068577,-0.0207517625088973,NA,0.46505961247849
8,2009,0.0568336659983821,-0.0294570257205941,NA,0.0545851176710825
9,2009,0,-0.105362902771701,NA,0
10,2009,0.0966528840328887,0.0173602132933967,NA,0.0653741603974879
11,2009,0,0.0461809370479622,NA,0
12,2009,0.298550732432711,0.00835709524239671,NA,0.338753583504247
1,2010,0,0.165302740879297,NA,0
2,2010,0,0.227266655571005,NA,0
3,2010,0.0913956691145967,1.33476361788654,NA,0.0545726394016094
4,2010,0,0.243866518268746,NA,0
5,2010,0,0.200720860719244,NA,0
6,2010,0.0231821071204664,0.110674156931676,NA,0.0258090786335599
7,2010,0.148868494084362,-0.000900319152495787,NA,0.138511540250465
8,2010,0,-0.0180671060512692,NA,0
9,2010,0,-0.135994627799245,NA,0
10,2010,0.077322307226311,0.0209628122950573,NA,0.0522993283179904
11,2010,0,0.0576925806775848,NA,0
12,2010,0,-0.0142276338764102,NA,0
1,2011,0,0.101712383768217,NA,0
2,2011,0,0.181578453600329,NA,0
3,2011,0.0736748174494694,0.898955016793896,NA,0.0460470599547953
4,2011,0,0.264700174385951,NA,0
5,2011,0.0684249935290765,0.216767235035982,NA,0.0706124350657555
6,2011,0.0927284284818658,0.13292867177599,NA,0.10323631453424
7,2011,0,0.0190075700660868,NA,0
8,2011,0,-0.00663533458493734,NA,0
9,2011,0,-0.166767658181749,NA,0
10,2011,0.278484543302421,0.0245855790000993,NA,0.188361613667717
11,2011,0.0628760865025054,0.0692816430506705,NA,0.0727820640983835
12,2011,0,-0.0367012306907881,NA,0
1,2012,0,0.0391435598342657,NA,0
2,2012,0,0.13605034248019,NA,0
3,2012,0.186065527896749,0.450838750335495,NA,0.162625089440686
4,2012,0.233426323272382,0.2854764793453,NA,0.240950681898543
5,2012,0.219773794903582,0.232946151915179,NA,0.226799624251178
6,2012,0,0.154422464004423,NA,0
7,2012,0,0.0388441607175941,NA,0
8,2012,0.0947227766639702,0.00461337599487021,NA,0.0909751961184708
9,2012,0,-0.196904631968351,NA,0
10,2012,0,0.028192347473096,NA,0
11,2012,0.11901118128769,0.0807663495685622,NA,0.137761109298045
12,2012,0.0860042867297634,-0.0593893501405835,NA,0.0975856267008173
1,2013,0,-0.023965724130384,NA,0
2,2013,0,0.0901851836238242,NA,0
3,2013,0.0650299150716465,0,NA,0.0382524370280341
4,2013,0,0,NA,0
5,2013,0.213653501323098,0.343059106214695,NA,0.198427517735797
6,2013,0.243548087883344,0.389813448215323,NA,0.235646598651659
7,2013,0.0346048468787831,0,NA,0.0160986737683916
8,2013,0.142084164995955,0.0783175752577966,NA,0.136462794177706
9,2013,0,-0.65871067118958,NA,0.562849266628824
10,2013,0.0644352560219258,0,NA,0.0217913867991626
11,2013,0.0396703937625634,0,NA,0.0229601848830076
12,2013,0,0,NA,0
1,2014,0,0,NA,0
2,2014,0,0,NA,0
3,2014,0.0654769725787871,0,NA,0.0377943545152155
4,2014,0,0,NA,0
5,2014,0,0,NA,0
6,2014,0.0927284284818658,0,NA,0.0516181572671198
7,2014,0,0,NA,0
8,2014,0,0,NA,0
9,2014,0,0,NA,0
10,2014,0,0,NA,0
11,2014,0.474112170611245,0.078255699252551,NA,0.343284261294127
12,2014,0.34304465645733,-0.153105640406017,NA,0.286974043482301
1,2015,0,0,NA,0
2,2015,0,0,NA,0
3,2015,0.0659240300859276,0,NA,0.0373362720023969
4,2015,0,0,NA,0
5,2015,0.0215661512824019,0,NA,0.0111277939427188
6,2015,0.0367427704736402,0.150800426739874,NA,0.0591668288565179
7,2015,0,0.134016760974012,NA,0.0482960213051747
8,2015,0,0.0783175752577966,NA,0.0682313970888531
9,2015,0.650237238358762,0,NA,0.246802813724941
10,2015,0.193305768065777,0.0732814313208479,NA,0.261496641589952
11,2015,0.152656669427484,0.078255699252551,NA,0.137761109298045
12,2015,0.12439613851363,0,NA,0.0705736632300515
1,2016,0,0,NA,0
2,2016,0,0,NA,0
3,2016,0.0661685253729562,0,NA,0.0371450084133285
4,2016,0,0,NA,0
5,2016,0,0,NA,0
6,2016,0.092411151530599,0,NA,0.0514415420495879
7,2016,0.148868494084362,0.268033521948023,NA,0.165847812735582
8,2016,0.227334663993529,0,NA,0.109170235342165
9,2016,0,0,NA,0
10,2016,0,0.0774322137618112,NA,0.207231185492297
11,2016,0,0,NA,0
12,2016,0.210400425243393,0,NA,0.11936647658046
1,2017,0,0,NA,0
2,2017,0,0,NA,0
3,2017,0.0664130206599848,0,NA,0.0369537448242602
4,2017,0,0,NA,0
5,2017,0.156362499320708,0.171529553107347,NA,0.124773423949504
6,2017,0.276545346296747,0.301600853479749,NA,0.231368820054963
7,2017,0.0692096937575663,0,NA,0.0321973475367831
8,2017,0.0473613883319851,-0.0440620577752239,NA,0.0454875980592354
9,2017,0.155934995985265,0,NA,0.0591863915153332
10,2017,0,0,NA,0
11,2017,0.170660248833159,0,NA,0.0987736821782483
12,2017,0,-0.153105640406017,NA,0.0923545131096944
