"Bay","Year","Month","Quarter","variable","n","mean","sd"
"HB","2015",3,"1","effort",12,8.893,11.772
"LTB","2015",3,"1","effort",4,7.925,7.54
"MTB","2015",3,"1","effort",22,5.644,8.886
"OTB","2015",3,"1","effort",7,7.259,7.311
"HB","2016",3,"1","effort",10,4.181,5.895
"LTB","2016",3,"1","effort",2,28.01,18.653
"MTB","2016",3,"1","effort",15,5.055,5.451
"OTB","2016",3,"1","effort",8,21.358,17.345
"HB","2017",3,"1","effort",8,5.803,6.121
"LTB","2017",3,"1","effort",2,27.64,19.177
"MTB","2017",3,"1","effort",16,3.667,3.236
"OTB","2017",3,"1","effort",5,25.374,14.457
"HB","2002",4,"2","effort",5,15.314,16.53
"LTB","2002",4,"2","effort",7,21.639,16.254
"MTB","2002",4,"2","effort",11,23.155,15.884
"OTB","2002",4,"2","effort",3,34.83,11.033
"HB","2003",4,"2","effort",4,7.71,9.952
"LTB","2003",4,"2","effort",1,1.4,NA
"MTB","2003",4,"2","effort",13,15.217,18.24
"OTB","2003",4,"2","effort",3,41.2,0
"HB","2004",4,"2","effort",9,18.143,18.508
"LTB","2004",4,"2","effort",5,33.556,10.467
"MTB","2004",4,"2","effort",18,13.202,14.801
"OTB","2004",4,"2","effort",3,34.83,11.033
"HB","2005",4,"2","effort",7,12.536,13.866
"LTB","2005",4,"2","effort",4,14.52,18.764
"MTB","2005",4,"2","effort",18,15.069,15.132
"OTB","2005",4,"2","effort",7,18.524,16.619
"HB","2006",4,"2","effort",3,18.427,19.726
"LTB","2006",4,"2","effort",12,15.577,16.472
"MTB","2006",4,"2","effort",22,12.505,12.882
"OTB","2006",4,"2","effort",5,24.928,14.854
"HB","2007",4,"2","effort",8,11.146,13.513
"LTB","2007",4,"2","effort",4,18.06,16.673
"MTB","2007",4,"2","effort",21,7.578,9.254
"OTB","2007",4,"2","effort",8,25.406,17.411
"HB","2008",4,"2","effort",4,16.028,17.747
"LTB","2008",4,"2","effort",3,32.16,15.658
"MTB","2008",4,"2","effort",14,5.601,10.724
"OTB","2008",4,"2","effort",4,18.06,16.673
"HB","2009",4,"2","effort",7,10.411,14.546
"LTB","2009",4,"2","effort",3,18.893,20.332
"MTB","2009",4,"2","effort",12,12.413,13.969
"OTB","2009",4,"2","effort",5,35.924,11.797
"HB","2010",4,"2","effort",9,15.063,15.994
"LTB","2010",4,"2","effort",1,1.4,NA
"MTB","2010",4,"2","effort",16,4.417,3.235
"OTB","2010",4,"2","effort",13,17.605,17.287
"HB","2011",4,"2","effort",9,11.389,12.651
"LTB","2011",4,"2","effort",4,14.52,18.764
"MTB","2011",4,"2","effort",21,8.207,14.067
"OTB","2011",4,"2","effort",9,12.034,13.045
"HB","2012",4,"2","effort",3,18.673,19.509
"LTB","2012",4,"2","effort",2,28.01,18.653
"MTB","2012",4,"2","effort",14,10.689,13.217
"OTB","2012",4,"2","effort",8,32.835,15.855
"HB","2013",4,"2","effort",8,9.379,13.952
"LTB","2013",4,"2","effort",2,27.64,19.177
"MTB","2013",4,"2","effort",23,4.83,4.163
"OTB","2013",4,"2","effort",10,15.924,14.627
"HB","2014",4,"2","effort",6,7.633,6.009
"LTB","2014",4,"2","effort",1,1.4,NA
"MTB","2014",4,"2","effort",17,8.256,12.962
"OTB","2014",4,"2","effort",6,14.868,14.537
"HB","2015",4,"2","effort",6,6.632,6.531
"LTB","2015",4,"2","effort",6,27.933,20.553
"MTB","2015",4,"2","effort",19,6.541,9.614
"OTB","2015",4,"2","effort",4,28.01,15.231
"HB","2016",4,"2","effort",8,12.215,18.058
"LTB","2016",4,"2","effort",2,28.01,18.653
"MTB","2016",4,"2","effort",11,9.881,15.746
"OTB","2016",4,"2","effort",3,13.833,0.427
"HB","2017",4,"2","effort",7,10.411,14.546
"LTB","2017",4,"2","effort",8,24.655,18.4
"MTB","2017",4,"2","effort",12,7.413,11.405
"OTB","2017",4,"2","effort",8,26.055,16.719
"HB","2002",5,"2","effort",3,18.18,19.936
"LTB","2002",5,"2","effort",6,25.012,14.881
"MTB","2002",5,"2","effort",8,10.885,12.491
"OTB","2002",5,"2","effort",4,41.2,0
"HB","2003",5,"2","effort",3,5.167,4.158
"LTB","2003",5,"2","effort",2,11.745,14.63
"MTB","2003",5,"2","effort",18,16.118,15.279
"OTB","2003",5,"2","effort",3,21.563,19.905
"HB","2004",5,"2","effort",4,3.855,3.319
"LTB","2004",5,"2","effort",6,25.275,7.802
"MTB","2004",5,"2","effort",20,12.476,12.801
"OTB","2004",5,"2","effort",5,13.498,17.891
"HB","2005",5,"2","effort",5,7.97,6.717
"LTB","2005",5,"2","effort",3,6.123,8.181
"MTB","2005",5,"2","effort",15,16.163,15.921
"OTB","2005",5,"2","effort",6,12.26,15.486
"HB","2006",5,"2","effort",2,7.41,0
"LTB","2006",5,"2","effort",7,16.606,17.841
"MTB","2006",5,"2","effort",14,12.491,12.753
"OTB","2006",5,"2","effort",6,21.13,16.335
"HB","2007",5,"2","effort",4,7.952,6.412
"LTB","2007",5,"2","effort",2,28.01,18.653
"MTB","2007",5,"2","effort",13,7.307,10.682
"OTB","2007",5,"2","effort",6,16.98,13.023
"HB","2008",5,"2","effort",3,9.88,4.278
"LTB","2008",5,"2","effort",1,0,NA
"MTB","2008",5,"2","effort",15,7.706,10.609
"OTB","2008",5,"2","effort",2,28.385,18.123
"HB","2009",5,"2","effort",4,12.853,19.11
"LTB","2009",5,"2","effort",1,41.2,NA
"MTB","2009",5,"2","effort",7,12.017,13.509
"OTB","2009",5,"2","effort",5,27.964,18.735
"HB","2010",5,"2","effort",6,10.367,6.222
"LTB","2010",5,"2","effort",1,41.2,NA
"MTB","2010",5,"2","effort",21,16.35,16.361
